state_and_district_of_columbia,obese_adults_number,scaling
Argentina,1,1
Cuba,1,1
Cyprus,1,1
Czech Republic,1,1
Estonia,1,1
Mexico,1,1
Saudi Arabia,1,1
Serbia,1,1
Slovakia,1,1
Thailand,1,1
Turkey,1,1
United Arab Emirates,1,1
Ireland,2,2
Poland,2,2
New Zealand,3,3
Iran,4,4
Russian Federation,4,4
South Korea,4,4
Portugal,5,5
Brazil,6,6
Denmark,6,6
Sweden,6,6
Hungary,7,7
Slovenia,7,7
Austria,9,9
Singapore,10,10
Greece,12,12
India,12,12
Taiwan,17,17
Netherlands,24,24
Australia,26,26
Italy,27,27
Belgium,31,31
Spain,33,33
Switzerland,35,35
Japan,36,36
Finland,38,38
China,48,45
Canada,79,50
Israel,83,60
France,101,70
United Kingdom,107,70
Germany,118,70
United States,645,90
