state_and_district_of_columbia,obese_adults_number
Alabama,30
Alaska,27
Arizona,23
Arkansas,28
California,23
Colorado,21
Connecticut,20
District of Columbia,22
Delaware,25
Florida,23
Georgia,27
Hawaii,20
Idaho,24
Illinois,25
Indiana,27
Iowa,26
Kansas,25
Kentucky,28
Louisiana,29
Maine,23
Maryland,25
Massachusetts,20
Michigan,27
Minnesota,24
Mississippi,34
Missouri,27
Montana,21
Nebraska,26
Nevada,23
New Hampshire,23
New Jersey,22
New Mexico,23
New York,23
North Carolina,27
North Dakota,25
Ohio,26
Oklahoma,28
Oregon,25
Pennsylvania,25
Rhode Island,21
South Carolina,29
South Dakota,26
Tennessee,29
Texas,27
Utah,21
Vermont,21
Virginia,25
Washington,24
West Virginia,30
Wisconsin,25
Wyoming,24
